CensusYear,Industry,County,WorkingPopulation,Population,MeanIncome,pctIndustryEmployement
2016,"Electricity, gas and water supply",Sligo,227.0,65535.0,37071.0,0.34637979705500876
2011,"Electricity, gas and water supply",Cavan,158.0,73183.0,34489.0,0.21589713458043536
2016,"Electricity, gas and water supply",Cavan,400.0,76176.0,35327.0,0.5250997689561017
2011,"Electricity, gas and water supply",Donegal,314.0,161137.0,31776.0,0.19486523889609464
2016,"Electricity, gas and water supply",Donegal,620.0,159192.0,31683.0,0.38946680737725514
2011,"Electricity, gas and water supply",Monaghan,130.0,60483.0,32502.0,0.21493642841790253
2016,"Electricity, gas and water supply",Monaghan,281.0,61386.0,32297.0,0.45775909816570554
2011,Construction,Carlow,1122.0,54612.0,34815.0,2.0544935179081523
2016,Construction,Carlow,1254.0,56932.0,35234.0,2.202627696198974
2011,Construction,Dublin,18610.0,1273069.0,44243.0,1.461821786564593
2016,Construction,Dublin,22844.0,1347359.0,46976.0,1.69546498000904
2011,Construction,Kildare,4807.0,210312.0,42084.0,2.285651793525809
2016,Construction,Kildare,5838.0,222504.0,44092.0,2.6237730557652896
2011,Construction,Kilkenny,2190.0,95419.0,36856.0,2.2951403808465822
2016,Construction,Kilkenny,2496.0,99232.0,37338.0,2.5153176394711383
2011,Construction,Laois,1783.0,80559.0,37253.0,2.213284673345002
2016,Construction,Laois,1976.0,84697.0,37703.0,2.3330224211011013
2011,Construction,Longford,768.0,39000.0,33473.0,1.9692307692307693
2016,Construction,Longford,841.0,40873.0,34144.0,2.057593032074964
2011,Construction,Louth,2183.0,122897.0,36209.0,1.7762842054728758
2016,Construction,Louth,2638.0,128884.0,37147.0,2.0468017752397505
2011,Construction,Meath,4796.0,184135.0,41083.0,2.6046107475493527
2016,Construction,Meath,6147.0,195044.0,42755.0,3.151596562826849
2011,Construction,Offaly,1620.0,76687.0,35380.0,2.1124832109744807
2016,Construction,Offaly,1852.0,77961.0,35901.0,2.375546747732841
2011,Construction,Westmeath,1765.0,86164.0,37076.0,2.048419293440416
2016,Construction,Westmeath,2008.0,88770.0,37856.0,2.2620254590514812
2011,Construction,Wexford,3370.0,145320.0,33672.0,2.3190200935865675
2016,Construction,Wexford,4002.0,149722.0,34430.0,2.6729538745140995
2011,Construction,Wicklow,2790.0,136640.0,41725.0,2.0418618266978923
2016,Construction,Wicklow,3483.0,142425.0,43075.0,2.4454976303317535
2011,Construction,Clare,2475.0,117196.0,38592.0,2.1118468207106047
2016,Construction,Clare,2525.0,118817.0,39716.0,2.1251167762188916
2011,Construction,Cork,11206.0,519032.0,39169.0,2.159019097088426
2016,Construction,Cork,11850.0,542868.0,41122.0,2.1828510798205087
2011,Construction,Kerry,3338.0,145502.0,34455.0,2.2941265412159284
2016,Construction,Kerry,3439.0,147707.0,34700.0,2.3282579701706756
2011,Construction,Limerick,3674.0,191809.0,38156.0,1.9154471375170092
2016,Construction,Limerick,3702.0,194899.0,39464.0,1.8994453537473255
2011,Construction,Tipperary,3391.0,158754.0,35722.0,2.1360091714224523
2016,Construction,Tipperary,3352.0,159553.0,36390.0,2.10086930361698
2011,Construction,Waterford,2005.0,113795.0,36959.0,1.7619403312975086
2016,Construction,Waterford,2052.0,116176.0,37279.0,1.7662856355873846
2011,Construction,Galway,5356.0,250653.0,37499.0,2.136818629739121
2016,Construction,Galway,5628.0,258058.0,39042.0,2.1809050678529633
2011,Construction,Leitrim,700.0,31798.0,34461.0,2.2013963142335995
2016,Construction,Leitrim,689.0,32044.0,34848.0,2.150168518287355
2011,Construction,Mayo,3127.0,130638.0,34117.0,2.3936373796292045
2016,Construction,Mayo,3235.0,130507.0,35036.0,2.478794240921943
2011,Construction,Roscommon,1403.0,64065.0,35515.0,2.1899633185046437
2016,Construction,Roscommon,1492.0,64544.0,36199.0,2.3116013882002977
2011,Construction,Sligo,1224.0,65393.0,36340.0,1.8717599743091766
2016,Construction,Sligo,1165.0,65535.0,37071.0,1.777676050965133
2011,Construction,Cavan,1765.0,73183.0,34489.0,2.411762294521952
2016,Construction,Cavan,2132.0,76176.0,35327.0,2.798781768536022
2011,Construction,Donegal,3298.0,161137.0,31776.0,2.046705598341784
2016,Construction,Donegal,3432.0,159192.0,31683.0,2.155887230514096
2011,Construction,Monaghan,1591.0,60483.0,32502.0,2.630491212406792
2016,Construction,Monaghan,1777.0,61386.0,32297.0,2.8947968592187143
2011,Wholesale and retail trade,Carlow,3500.0,54612.0,34815.0,6.408847872262506
2016,Wholesale and retail trade,Carlow,3360.0,56932.0,35234.0,5.901777559193424
2011,Wholesale and retail trade,Dublin,74627.0,1273069.0,44243.0,5.861976059428044
2016,Wholesale and retail trade,Dublin,74552.0,1347359.0,46976.0,5.5331949391364885
2011,Wholesale and retail trade,Kildare,13856.0,210312.0,42084.0,6.588306896420557
2016,Wholesale and retail trade,Kildare,15037.0,222504.0,44092.0,6.75808075360443
2011,Wholesale and retail trade,Kilkenny,5485.0,95419.0,36856.0,5.748331045179681
2016,Wholesale and retail trade,Kilkenny,5423.0,99232.0,37338.0,5.4649709771041595
2011,Wholesale and retail trade,Laois,4765.0,80559.0,37253.0,5.914919499993793
2016,Wholesale and retail trade,Laois,4972.0,84697.0,37703.0,5.870337792365727
2011,Wholesale and retail trade,Longford,2135.0,39000.0,33473.0,5.4743589743589745
2016,Wholesale and retail trade,Longford,2277.0,40873.0,34144.0,5.570914784821276
2011,Wholesale and retail trade,Louth,8021.0,122897.0,36209.0,6.526603578606475
2016,Wholesale and retail trade,Louth,8012.0,128884.0,37147.0,6.216442692653859
2011,Wholesale and retail trade,Meath,11836.0,184135.0,41083.0,6.427892578814457
2016,Wholesale and retail trade,Meath,11947.0,195044.0,42755.0,6.125284551178196
2011,Wholesale and retail trade,Offaly,4218.0,76687.0,35380.0,5.500280360426148
2016,Wholesale and retail trade,Offaly,4198.0,77961.0,35901.0,5.384743653878221
2011,Wholesale and retail trade,Westmeath,5105.0,86164.0,37076.0,5.92474815468177
2016,Wholesale and retail trade,Westmeath,5154.0,88770.0,37856.0,5.806015545792498
2011,Wholesale and retail trade,Wexford,8643.0,145320.0,33672.0,5.947563996696944
2016,Wholesale and retail trade,Wexford,8701.0,149722.0,34430.0,5.811437196938326
2011,Wholesale and retail trade,Wicklow,8057.0,136640.0,41725.0,5.8965163934426235
2016,Wholesale and retail trade,Wicklow,8140.0,142425.0,43075.0,5.715288748464104
2011,Wholesale and retail trade,Clare,5621.0,117196.0,38592.0,4.796238779480529
2016,Wholesale and retail trade,Clare,5523.0,118817.0,39716.0,4.648324734676015
2011,Wholesale and retail trade,Cork,30542.0,519032.0,39169.0,5.884415604432867
2016,Wholesale and retail trade,Cork,30849.0,542868.0,41122.0,5.6825968743783015
2011,Wholesale and retail trade,Kerry,8300.0,145502.0,34455.0,5.704388943107311
2016,Wholesale and retail trade,Kerry,8250.0,147707.0,34700.0,5.585381870865971
2011,Wholesale and retail trade,Limerick,10865.0,191809.0,38156.0,5.664489153272266
2016,Wholesale and retail trade,Limerick,10567.0,194899.0,39464.0,5.421782564302536
2011,Wholesale and retail trade,Tipperary,9026.0,158754.0,35722.0,5.685526033989695
2016,Wholesale and retail trade,Tipperary,8731.0,159553.0,36390.0,5.47216285497609
2011,Wholesale and retail trade,Waterford,6012.0,113795.0,36959.0,5.283184674194824
2016,Wholesale and retail trade,Waterford,6063.0,116176.0,37279.0,5.21880594959372
2011,Wholesale and retail trade,Galway,13428.0,250653.0,37499.0,5.357206975380307
