"Type of Private Accommodation","Province County or City","CensusYear","Statistic Label","UNIT","VALUE"
"All households","Kildare","2011","Number of Persons Resident","Number","211859"
"All households","Kildare","2016","Number of Households","Number","73707"
"All households","Kildare","2016","Number of Persons Resident","Number","224474"
"All households","Kilkenny","1926","Number of Households","Number",""
"All households","Kilkenny","1926","Number of Persons Resident","Number","70990"
"All households","Kilkenny","1936","Number of Households","Number",""
"All households","Kilkenny","1936","Number of Persons Resident","Number","68614"
"All households","Kilkenny","1946","Number of Households","Number",""
"All households","Kilkenny","1946","Number of Persons Resident","Number","66712"
"All households","Kilkenny","1961","Number of Households","Number",""
"All households","Kilkenny","1961","Number of Persons Resident","Number","61668"
"All households","Kilkenny","1966","Number of Households","Number",""
"All households","Kilkenny","1966","Number of Persons Resident","Number","60463"
"All households","Kilkenny","1971","Number of Households","Number",""
"All households","Kilkenny","1971","Number of Persons Resident","Number","61473"
"All households","Kilkenny","1979","Number of Households","Number","17516"
"All households","Kilkenny","1979","Number of Persons Resident","Number","69156"
"All households","Kilkenny","1981","Number of Households","Number","18199"
"All households","Kilkenny","1981","Number of Persons Resident","Number","70806"
"All households","Kilkenny","1986","Number of Households","Number","19618"
"All households","Kilkenny","1986","Number of Persons Resident","Number","73186"
"All households","Kilkenny","1991","Number of Households","Number","20714"
"All households","Kilkenny","1991","Number of Persons Resident","Number","73635"
"All households","Kilkenny","1996","Number of Households","Number","22371"
"All households","Kilkenny","1996","Number of Persons Resident","Number","75336"
"All households","Kilkenny","2002","Number of Households","Number","25747"
"All households","Kilkenny","2002","Number of Persons Resident","Number","80184"
"All households","Kilkenny","2006","Number of Households","Number","29774"
"All households","Kilkenny","2006","Number of Persons Resident","Number","87852"
"All households","Kilkenny","2011","Number of Households","Number","33831"
"All households","Kilkenny","2011","Number of Persons Resident","Number","96679"
"All households","Kilkenny","2016","Number of Households","Number","34976"
"All households","Kilkenny","2016","Number of Persons Resident","Number","100431"
"All households","Laois","1926","Number of Households","Number",""
"All households","Laois","1926","Number of Persons Resident","Number","51540"
"All households","Laois","1936","Number of Households","Number",""
"All households","Laois","1936","Number of Persons Resident","Number","50109"
"All households","Laois","1946","Number of Households","Number",""
"All households","Laois","1946","Number of Persons Resident","Number","49697"
"All households","Laois","1961","Number of Households","Number",""
"All households","Laois","1961","Number of Persons Resident","Number","45069"
"All households","Laois","1966","Number of Households","Number",""
"All households","Laois","1966","Number of Persons Resident","Number","44595"
"All households","Laois","1971","Number of Households","Number",""
"All households","Laois","1971","Number of Persons Resident","Number","45259"
"All households","Laois","1979","Number of Households","Number","12417"
"All households","Laois","1979","Number of Persons Resident","Number","49936"
"All households","Laois","1981","Number of Households","Number","12992"
"All households","Laois","1981","Number of Persons Resident","Number","51171"
"All households","Laois","1986","Number of Households","Number","13948"
"All households","Laois","1986","Number of Persons Resident","Number","53284"
"All households","Laois","1991","Number of Households","Number","14441"
"All households","Laois","1991","Number of Persons Resident","Number","52314"
"All households","Laois","1996","Number of Households","Number","15672"
"All households","Laois","1996","Number of Persons Resident","Number","52945"
"All households","Laois","2002","Number of Households","Number","18598"
"All households","Laois","2002","Number of Persons Resident","Number","58672"
"All households","Laois","2006","Number of Households","Number","22627"
"All households","Laois","2006","Number of Persons Resident","Number","67112"
"All households","Laois","2011","Number of Households","Number","28057"
"All households","Laois","2011","Number of Persons Resident","Number","81500"
"All households","Laois","2016","Number of Households","Number","29150"
"All households","Laois","2016","Number of Persons Resident","Number","85712"
