"Type of Private Accommodation","Province County or City","CensusYear","Statistic Label","UNIT","VALUE"
"All households","Wexford","1981","Number of Households","Number","25412"
"All households","Wexford","1981","Number of Persons Resident","Number","99081"
"All households","Wexford","1986","Number of Households","Number","27434"
"All households","Wexford","1986","Number of Persons Resident","Number","102552"
"All households","Wexford","1991","Number of Households","Number","28882"
"All households","Wexford","1991","Number of Persons Resident","Number","102069"
"All households","Wexford","1996","Number of Households","Number","31502"
"All households","Wexford","1996","Number of Persons Resident","Number","104371"
"All households","Wexford","2002","Number of Households","Number","38134"
"All households","Wexford","2002","Number of Persons Resident","Number","116404"
"All households","Wexford","2006","Number of Households","Number","45684"
"All households","Wexford","2006","Number of Persons Resident","Number","131726"
"All households","Wexford","2011","Number of Households","Number","52747"
"All households","Wexford","2011","Number of Persons Resident","Number","146804"
"All households","Wexford","2016","Number of Households","Number","54406"
"All households","Wexford","2016","Number of Persons Resident","Number","151291"
"All households","Wicklow","1926","Number of Households","Number",""
"All households","Wicklow","1926","Number of Persons Resident","Number","57591"
"All households","Wicklow","1936","Number of Households","Number",""
"All households","Wicklow","1936","Number of Persons Resident","Number","58569"
"All households","Wicklow","1946","Number of Households","Number",""
"All households","Wicklow","1946","Number of Persons Resident","Number","60451"
"All households","Wicklow","1961","Number of Households","Number",""
"All households","Wicklow","1961","Number of Persons Resident","Number","58473"
"All households","Wicklow","1966","Number of Households","Number",""
"All households","Wicklow","1966","Number of Persons Resident","Number","60428"
"All households","Wicklow","1971","Number of Households","Number",""
"All households","Wicklow","1971","Number of Persons Resident","Number","66295"
"All households","Wicklow","1979","Number of Households","Number","22072"
"All households","Wicklow","1979","Number of Persons Resident","Number","83950"
"All households","Wicklow","1981","Number of Households","Number","23322"
"All households","Wicklow","1981","Number of Persons Resident","Number","87449"
"All households","Wicklow","1986","Number of Households","Number","26114"
"All households","Wicklow","1986","Number of Persons Resident","Number","94542"
"All households","Wicklow","1991","Number of Households","Number","28187"
"All households","Wicklow","1991","Number of Persons Resident","Number","97265"
"All households","Wicklow","1996","Number of Households","Number","31263"
"All households","Wicklow","1996","Number of Persons Resident","Number","102683"
"All households","Wicklow","2002","Number of Households","Number","36706"
"All households","Wicklow","2002","Number of Persons Resident","Number","114695"
"All households","Wicklow","2006","Number of Households","Number","43005"
"All households","Wicklow","2006","Number of Persons Resident","Number","126412"
"All households","Wicklow","2011","Number of Households","Number","47923"
"All households","Wicklow","2011","Number of Persons Resident","Number","137656"
"All households","Wicklow","2016","Number of Households","Number","49339"
"All households","Wicklow","2016","Number of Persons Resident","Number","143864"
"All households","Munster","1926","Number of Households","Number",""
"All households","Munster","1926","Number of Persons Resident","Number","969902"
"All households","Munster","1936","Number of Households","Number",""
"All households","Munster","1936","Number of Persons Resident","Number","942272"
"All households","Munster","1946","Number of Households","Number",""
"All households","Munster","1946","Number of Persons Resident","Number","917306"
"All households","Munster","1961","Number of Households","Number",""
"All households","Munster","1961","Number of Persons Resident","Number","849203"
"All households","Munster","1966","Number of Households","Number",""
"All households","Munster","1966","Number of Persons Resident","Number","859334"
"All households","Munster","1971","Number of Households","Number",""
"All households","Munster","1971","Number of Persons Resident","Number","882002"
"All households","Munster","1979","Number of Households","Number","255039"
"All households","Munster","1979","Number of Persons Resident","Number","979819"
"All households","Munster","1981","Number of Households","Number","263820"
"All households","Munster","1981","Number of Persons Resident","Number","998315"
"All households","Munster","1986","Number of Households","Number","280953"
"All households","Munster","1986","Number of Persons Resident","Number","1020577"
"All households","Munster","1991","Number of Households","Number","294541"
"All households","Munster","1991","Number of Persons Resident","Number","1009533"
"All households","Munster","1996","Number of Households","Number","320411"
"All households","Munster","1996","Number of Persons Resident","Number","1033903"
"All households","Munster","2002","Number of Households","Number","364507"
"All households","Munster","2002","Number of Persons Resident","Number","1092836"
"All households","Munster","2006","Number of Households","Number","410098"
"All households","Munster","2006","Number of Persons Resident","Number","1168274"
"All households","Munster","2011","Number of Households","Number","455641"
"All households","Munster","2011","Number of Persons Resident","Number","1254605"
"All households","Munster","2016","Number of Households","Number","469084"
"All households","Munster","2016","Number of Persons Resident","Number","1291275"
"All households","Clare","1926","Number of Households","Number",""
"All households","Clare","1926","Number of Persons Resident","Number","95064"
"All households","Clare","1936","Number of Households","Number",""
"All households","Clare","1936","Number of Persons Resident","Number","89879"
"All households","Clare","1946","Number of Households","Number",""
"All households","Clare","1946","Number of Persons Resident","Number","85064"
"All households","Clare","1961","Number of Households","Number",""
"All households","Clare","1961","Number of Persons Resident","Number","73702"
"All households","Clare","1966","Number of Households","Number",""
"All households","Clare","1966","Number of Persons Resident","Number","73597"
"All households","Clare","1971","Number of Households","Number",""
"All households","Clare","1971","Number of Persons Resident","Number","75008"
"All households","Clare","1979","Number of Households","Number","22564"
"All households","Clare","1979","Number of Persons Resident","Number","84919"
